Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Stn_No
CAMBRIDGE BAY A,69.108,-105.138,NU,-35.6,17,-3.1,-26.5,17,-41.2,17,1.2,17,NA,1.2,17,NA,,0,,,NA,590,0,2400600
CAMBRIDGE BAY A,69.108,-105.137,NU,-29.3,11,NA,-13.4,11,-39.6,11,3.2,12,NA,3.4,11,NA,30,1,,,NA,804.6,0,2400601
CAMBRIDGE BAY GSN,69.108,-105.138,NU,-31.7,0,NA,-13.2,0,-41.1,0,,,NA,4.3,0,NA,3,0,,,NA,1391.2,0,2400602
CAPE DORSET CLIMATE,64.231,-76.53,NU,-28.6,0,NA,-20.8,0,-35.8,0,,,NA,5.1,0,NA,,1,,,NA,1304.2,0,2400636
CAPE DORSET A,64.23,-76.525,NU,-28.5,1,NA,-20.7,1,-35.5,1,,,NA,9.7,1,NA,,2,,,NA,1254.7,0,2400637
CAPE DYER,66.65,-61.383,NU,-27.7,2,NA,-19,1,-34.1,1,,,NA,,,NA,,,,,NA,1189.3,0,2400650
CAPE HOOPER,68.473,-66.815,NU,-28.8,2,NA,-20.3,1,-34.2,1,,,NA,,,NA,,,,,NA,1217.5,0,2400660
CAPE PEEL WEST,69.036,-107.823,NU,-30.4,2,NA,-11.6,1,-40.6,1,,,NA,,,NA,,,,,NA,1257.1,0,2400697
CLYDE RIVER CLIMATE,70.483,-68.517,NU,-32.6,0,NA,-20.5,0,-41.5,0,,,NA,8.3,0,NA,,2,,,NA,1416.8,0,2400802
CLYDE RIVER A,70.486,-68.517,NU,-32.5,1,NA,-20.6,1,-40.4,1,,,NA,12.2,1,NA,,2,,,NA,1363.8,0,2400804
CAPE MERCY,64.958,-63.578,NU,-27.4,2,NA,-15.4,1,-35.5,1,,,NA,,,NA,,,,,NA,1181.4,0,2400F63
DEWAR LAKES,68.65,-71.167,NU,-32.6,2,NA,-22,1,-41.5,1,,,NA,,,NA,,,,,NA,1314.9,0,2401030
EUREKA,79.983,-85.933,NU,-36.4,0,1,-18.9,0,-49.2,0,4,0,103,2.2,0,71,6,0,,,NA,1523.4,0,2401200
FORT ROSS,72.018,-94.198,NU,-30.5,0,NA,-18.5,0,-37,0,,,NA,3.2,2,NA,15,0,,,NA,1358.7,0,2402051
GATESHEAD ISLAND,70.633,-100.267,NU,-32.9,0,NA,-14.7,0,-40.1,0,,,NA,5.2,3,NA,,2,,,NA,1424.8,0,2402332
GRISE FIORD CLIMATE,76.423,-82.902,NU,-33.9,0,NA,-22.1,0,-41.5,0,,,NA,2.8,0,NA,0,0,,,NA,1451.8,0,2402351
HALL BEACH CLIMATE,68.776,-81.244,NU,-34.2,0,NA,-19.9,0,-43.9,0,,,NA,1,1,NA,10,0,,,NA,1462.6,0,2402353
HALL BEACH A,68.776,-81.243,NU,-34.4,1,NA,-20.1,1,-43.8,0,,,NA,22.2,0,NA,,2,,,NA,1414.6,0,2402354
IQALUIT AWOS,63.75,-68.55,NU,-31.9,0,NA,-18.1,0,-38.9,0,,,NA,,,NA,,,,,NA,1397.2,0,2402591
IQALUIT CLIMATE,63.747,-68.544,NU,-32.1,1,NA,-18,1,-39.6,0,,,NA,5.1,1,NA,16,1,,,NA,1352.7,0,2402592
IQALUIT UA,63.75,-68.55,NU,,,NA,,,,,17.5,1,NA,17.5,1,NA,22,4,,,NA,,,2402594
ISACHSEN (AUT),78.792,-103.554,NU,-38.2,23,NA,-29.8,23,-42.9,23,,,NA,,,NA,,,,,NA,281.1,0,2402604
PANGNIRTUNG,66.143,-65.711,NU,-30.4,2,NA,-11.9,1,-39.1,2,,,NA,3.5,3,NA,6,0,,,NA,1257.1,0,2403049
POND INLET CLIMATE,72.693,-77.958,NU,-36.1,0,NA,-28.9,0,-43.9,0,,,NA,1.2,1,NA,,0,,,NA,1514.9,0,2403204
POND INLET A,72.689,-77.969,NU,-35.4,0,NA,-28.1,0,-42.1,0,,,NA,0,0,NA,,0,,,NA,1494.8,0,2403206
REA POINT,75.377,-105.715,NU,-30.5,0,NA,-19,0,-40,0,,,NA,,,NA,,,,,NA,1358.9,0,2403450
RESOLUTE BAY A,74.717,-94.969,NU,-33.4,0,NA,-24.1,0,-40.7,0,3.6,2,NA,4,1,NA,11,2,,,NA,1439.7,0,2403498
RESOLUTE CS,74.716,-94.983,NU,-33.2,0,NA,-24.1,0,-40.7,0,,,NA,10.4,0,NA,1,4,,,NA,1434.9,0,2403505
RESOLUTION ISLAND,61.6,-64.633,NU,-25.3,2,NA,-16.3,1,-31.3,1,,,NA,,,NA,,,,,NA,1125.5,0,2403602
ROWLEY ISLAND,69.083,-79.033,NU,-31.7,2,NA,-20.1,1,-37.7,1,,,NA,,,NA,,,,,NA,1292.1,0,2403625
STEFANSSON ISLAND,73.766,-105.296,NU,-32.1,0,NA,-16.6,0,-41.5,0,,,NA,0.5,11,NA,,0,,,NA,1403.7,0,2403756
SVARTEVAEG,81.161,-91.816,NU,-33.5,0,NA,-21.9,0,-43.3,0,,,NA,1.6,0,NA,21,0,,,NA,1441.2,0,2403833
TALOYOAK A,69.547,-93.577,NU,-35.1,0,NA,-19.5,0,-44.3,0,4,0,NA,4,0,NA,15,1,,,NA,1487.5,0,2403855
WAGER BAY (AUT),65.879,-89.446,NU,,,NA,,,,,,,NA,0,24,NA,,0,,,NA,,,2403945
NANGMAGVIK LAKE,74.139,-119.989,NT,,,NA,-10.4,22,-40.1,27,,,NA,,,NA,,,,,NA,,,2500440
HOLMAN CS,70.761,-117.8,NT,-29.8,7,NA,-15.5,5,-39.9,7,,,NA,10.2,0,NA,57,3,,,NA,1004.8,0,2502505
SACHS HARBOUR CLIMATE,71.993,-125.254,NT,-23.1,20,NA,-13.8,19,-38,17,,,NA,0.2,21,NA,,0,,,NA,328.7,0,2503648
THOMSEN RIVER,73.231,-119.538,NT,-32.4,0,NA,-10.8,0,-39.8,0,,,NA,,,NA,29,,,,NA,1412,0,2503886
MOULD BAY CS,76.238,-119.347,NT,-32.2,0,NA,-15.4,0,-43,0,,,NA,0.8,8,NA,22,0,,,NA,1406.7,0,250M001
ABEE AGDM,54.283,-112.967,AB,-13.6,0,NA,6.4,0,-29.8,0,,,NA,19.5,3,NA,,7,,,NA,884,0,3010010
ALBERT HALL AGCM,53.113,-111.181,AB,-13.3,0,NA,4.9,0,-32.4,0,,,NA,19.6,0,NA,,4,,,NA,876.4,0,3010060
ALLIANCE AGCM,52.315,-111.779,AB,-11.2,0,NA,6.1,0,-26.4,0,,,NA,20,0,NA,,8,,,NA,816.5,0,3010162
ANDREW AGDM,53.917,-112.279,AB,-13.2,1,NA,4.9,0,-29.5,1,,,NA,12.9,5,NA,,4,,,NA,843.2,0,3010237
BELLSHILL AGCM,52.582,-111.465,AB,-11.8,0,NA,5,0,-26.5,0,,,NA,18,1,NA,,5,,,NA,833.1,0,3010650
BODO AGDM,52.124,-110.101,AB,-12.7,0,NA,5,0,-27.7,0,,,NA,25.1,0,NA,,5,,,NA,859.1,0,3010730
BRETON,53.167,-114.483,AB,-8.3,0,NA,12,0,-24,0,26,0,NA,0,0,NA,32,0,,,NA,737,0,3010815
BRETON PLOTS,53.089,-114.441,AB,-7.5,0,NA,12.8,0,-24.2,0,,,NA,21.4,0,NA,,10,,,NA,715.1,0,3010816
BUSBY,53.997,-113.889,AB,-11.1,5,NA,8.5,4,-23,4,28,1,NA,30,1,NA,28,11,,,NA,669.5,0,3010978
BUSBY AGCM,53.931,-113.922,AB,-10.3,0,NA,8.4,0,-27.1,0,,,NA,26.5,0,NA,,11,,,NA,791.4,0,3010979
CADOGAN AGCM,52.334,-110.51,AB,-12.9,1,NA,4.8,1,-26.1,1,,,NA,17.1,10,NA,,4,,,NA,834.7,0,3010992
CAMROSE,53.035,-112.814,AB,-10.8,0,-1.1,7.2,0,-26.5,0,,,NA,12.7,1,NA,2,4,,,NA,806.1,0,3011240
CAMROSE 2,52.95,-112.8,AB,-18.5,27,NA,6,24,-25,24,0,11,NA,0,11,NA,0,0,,,NA,36.5,0,3011241
CARNWOOD,53.234,-114.654,AB,-7.3,0,NA,12,0,-26.5,0,34,0,NA,34,0,NA,15,7,,,NA,709.4,0,3011350
CONSORT AGDM,51.937,-110.713,AB,-12.7,0,NA,4.9,0,-28.6,0,,,NA,14.9,4,NA,,5,,,NA,858.5,0,3011815
CORONATION CLIMATE,52.074,-111.449,AB,-12.7,0,NA,5,0,-30.7,0,,,NA,16.2,0,NA,7,7,,,NA,858.6,0,3011887
CRESTOMERE AGCM,52.733,-113.903,AB,-9.2,1,NA,10.5,1,-29.7,1,,,NA,16.6,4,NA,,5,,,NA,733.2,0,3011892
DAKOTA WEST,52.75,-113.95,AB,-7.7,7,-0.1,11.5,7,-28,7,19.4,7,NA,19.4,7,NA,16,6,,,NA,540.3,0,3011953
DELBURNE AGCM,52.183,-113.176,AB,-8.6,0,NA,9,0,-24,0,,,NA,13.3,0,NA,,6,,,NA,744,0,3012050
DEWBERRY AGCM,53.659,-110.588,AB,-15.2,8,NA,3,8,-31.8,7,,,NA,18.9,10,NA,,5,,,NA,663.5,0,3012073
DONALDA SOUTH,52.517,-112.351,AB,-10.7,0,NA,6.5,0,-31,0,25,0,NA,25,0,NA,21,8,,,NA,802.4,0,3012095
EDGERTON AGCM,52.778,-110.433,AB,-13.8,0,NA,4.6,0,-31.6,0,,,NA,18.8,1,NA,,4,,,NA,889.8,0,3012192
EDMONTON CITY CENTRE AWOS,53.572,-113.519,AB,-8.9,0,NA,8.3,0,-22.3,0,,,NA,17,0,NA,,6,,,NA,754.1,0,3012202
EDMONTON INTERNATIONAL CS,53.307,-113.606,AB,-10.4,0,NA,7.4,0,-28.5,0,,,NA,11.6,0,NA,9,3,,,NA,794.1,0,3012206
EDMONTON MUNICIPAL CR10,53.573,-113.517,AB,-9,0,NA,8.1,0,-21.6,0,,,NA,,,NA,,,,,NA,755.3,0,3012209
EDMONTON NAMAO AWOS A,53.667,-113.467,AB,-10.5,1,NA,8.3,1,-25.1,1,,,NA,17.5,2,NA,,6,,,NA,770.7,0,3012212
EDMONTON INTL A,53.31,-113.579,AB,-10.5,0,NA,6.8,0,-28.4,0,15,1,NA,22,2,NA,17,3,,,NA,797.2,0,3012216
EDMONTON VILLENEUVE A,53.668,-113.856,AB,-9.4,1,NA,8.2,1,-26,1,,,NA,9.9,1,NA,,2,,,NA,739.6,0,3012229
EDMONTON STONY PLAIN,53.548,-114.108,AB,-8.3,0,-0.9,10,0,-21.5,0,33.2,0,212,24.2,0,166,7,5,,,NA,737.4,0,301222F
EDMONTON WOODBEND,53.417,-113.75,AB,-9.2,0,-0.6,10,0,-26.5,0,28.8,0,205,28.9,0,202,22,8,,,NA,760.8,0,3012230
ELK ISLAND NAT PARK,53.683,-112.868,AB,-10.7,0,-1.4,9.4,0,-28.4,0,,,NA,24.9,0,220,26,5,,,NA,803,0,3012275
FABYAN,52.967,-111,AB,-14,0,-2.5,5.5,0,-30,0,23.7,0,229,24.7,0,235,0,7,,,NA,895.9,0,3012515
FERINTOSH AGCM,52.744,-112.858,AB,-10.6,1,NA,6,1,-29.4,0,,,NA,14.8,5,NA,,6,,,NA,772.2,0,3012590
FORESTBURG PLANT SITE,52.467,-112.12,AB,-9,2,-1.6,8.5,2,-25,2,26.8,2,NA,27.2,2,NA,0,7,,,NA,702.8,0,3012652
FORESTBURG AGCM,52.548,-112.123,AB,-11.1,0,NA,6.4,0,-26.5,0,,,NA,14.7,0,NA,,7,,,NA,815.2,0,3012653
FORT SASKATCHEWAN,53.717,-113.183,AB,-7.6,6,1.8,8,6,-25,6,15,6,NA,21.6,6,NA,0,7,,,NA,562.2,0,3012710
GILT EDGE NORTH AGCM,53.071,-110.621,AB,-13.3,0,NA,4.5,0,-29.4,0,,,NA,20,9,NA,,4,,,NA,876.1,0,3012790
GLENEVIS AGCM,53.833,-114.539,AB,-7.9,0,NA,10,0,-21.8,0,,,NA,,,NA,,,,,NA,725.1,0,3012818
HALKIRK AGCM,52.116,-112.164,AB,-14,13,NA,5.4,13,-30,11,,,NA,8.4,17,NA,,3,,,NA,479.7,0,3012999
HEMARUKA AGCM,51.78,-111.212,AB,-12.2,0,NA,5.3,0,-30.8,0,,,NA,10.7,1,NA,,5,,,NA,845.6,0,3013140
HOLDEN AGDM,53.185,-112.246,AB,-11.9,0,NA,6.6,0,-27.6,0,,,NA,,,NA,,,,,NA,838,0,3013340
HUGHENDEN AGCM,52.578,-110.784,AB,-12.7,1,NA,4.6,1,-27.6,0,,,NA,14.4,6,NA,,3,,,NA,829.2,0,3013362
KILLAM AGDM,52.848,-111.872,AB,-12,0,NA,5.1,0,-27.6,0,,,NA,29.5,7,NA,,12,,,NA,840.1,0,3013640
KESSLER AGCM,52.29,-111.113,AB,-12.3,0,NA,5.9,0,-30,0,,,NA,18,11,NA,,4,,,NA,847,0,3013644
KITSCOTY AGCM,53.353,-110.416,AB,-13.3,5,NA,3.6,4,-24.1,4,,,NA,2.9,20,NA,,0,,,NA,719.9,0,3013660
LEGAL AGCM,54.003,-113.474,AB,-11.8,13,NA,4.3,13,-23.1,11,,,NA,1.4,22,NA,,1,,,NA,446.9,0,3013790
LINDBERGH AGDM,53.943,-110.579,AB,-14.7,0,NA,5.9,0,-32.7,0,,,NA,17.4,4,NA,,5,,,NA,916,0,3013921
LLOYDMINSTER,53.309,-110.073,AB,-13.9,2,NA,4.5,2,-27.3,1,,,NA,8.7,2,NA,,3,,,NA,830,0,3013959
LLOYDMINSTER A,53.309,-110.073,AB,-14.2,0,-2.5,4.4,0,-27.3,0,28.4,0,289,28.6,0,291,22,7,,,NA,902.2,0,3013961
HOLDEN SOUTH,53.083,-112.267,AB,,,NA,,,,,22.6,0,212,24,0,223,12,8,,,NA,,,3013C44
MANNVILLE AGCM,53.456,-111.255,AB,-13.1,0,NA,5.7,0,-27.6,0,,,NA,19.1,0,NA,,4,,,NA,872.1,0,3014195
MONITOR,52.017,-110.55,AB,,,NA,,,,,16.4,0,189,19.4,0,220,0,6,,,NA,,,3014600
MUNDARE AGDM,53.567,-112.3,AB,-11.3,7,NA,5.3,7,-24.8,7,,,NA,25.3,12,NA,1,11,,,NA,614.9,0,3014665
MYRNAM AGCM,53.72,-111.114,AB,-14.1,0,NA,6.5,0,-34.5,0,,,NA,13.8,1,NA,,3,,,NA,898.5,0,3014690
NEW SEREPTA AGCM,53.262,-113.165,AB,-10.5,0,NA,6.8,0,-25,0,,,NA,20.6,1,NA,,9,,,NA,797.2,0,3014795
OLIVER AGDM,53.65,-113.35,AB,-10.1,0,NA,8.3,0,-26.8,0,,,NA,,,NA,,,,,NA,786,0,3014921
RADWAY AGCM,53.995,-112.879,AB,-12.2,0,NA,7.4,0,-28.8,0,,,NA,,,NA,,,,,NA,846,0,3015346
RANFURLY AUTO,53.425,-111.726,AB,-12.8,0,NA,4.4,0,-27,0,,,NA,26,0,NA,12,6,,,NA,861.8,0,3015401
RIBSTONE SOUTH AGCM,52.587,-110.343,AB,-13.1,0,NA,5.1,0,-28.4,0,,,NA,23.8,7,NA,,5,,,NA,870.4,0,3015480
RIVERCOURSE AGCM,53.019,-110.102,AB,-14.3,0,NA,4,0,-28.6,0,,,NA,12.7,7,NA,,2,,,NA,904.3,0,3015501
ROCKY MTN HOUSE (AUT),52.421,-114.912,AB,-8.5,5,NA,11.8,5,-29.2,5,,,NA,16,5,NA,34,8,,,NA,609.5,0,3015523
ROSALIND AGCM,52.78,-112.428,AB,-11.1,0,NA,6,0,-26.4,0,,,NA,13.3,1,NA,,7,,,NA,813.7,0,3015600
ST. LINA AGCM,54.282,-111.453,AB,-13.2,0,NA,7.1,0,-28.7,0,,,NA,14.2,2,NA,,3,,,NA,872.6,0,3015673
ST. PAUL AGCM,54.011,-111.272,AB,-15,0,NA,6,0,-31.1,0,,,NA,17.3,1,NA,,4,,,NA,924.4,0,3015676
SEDALIA AGCM,51.59,-110.755,AB,-12.5,0,NA,4.6,0,-30,0,,,NA,5.6,9,NA,,1,,,NA,855.3,0,3015797
SHONTS AGCM,53.333,-112.539,AB,-11.6,0,NA,7.4,0,-28.4,0,,,NA,23.8,2,NA,,8,,,NA,827.8,0,3015900
SMOKY LAKE AGDM,54.278,-112.499,AB,-12.5,0,NA,7.2,0,-25.7,0,,,NA,22.2,1,NA,,8,,,NA,854.7,0,3016022
SPONDIN AGCM,51.816,-111.683,AB,-11.6,0,NA,5.7,0,-29.5,0,,,NA,8.2,9,NA,,4,,,NA,828,0,3016070
STETTLER AGDM,52.347,-112.596,AB,-10.3,0,NA,6.2,0,-24.8,0,,,NA,18.2,0,NA,,6,,,NA,791.9,0,3016124
THORSBY AGCM,53.217,-113.895,AB,-9.5,0,NA,8.7,0,-26.7,0,,,NA,6.2,11,NA,,1,,,NA,768.6,0,3016441
TOMAHAWK AGDM,53.439,-114.718,AB,-8,1,NA,11.6,1,-22.6,0,,,NA,33.8,3,NA,,12,,,NA,702.5,0,3016505
TULLIBY LAKE AGCM,53.664,-110.081,AB,-15.1,0,NA,5.7,0,-34.2,0,,,NA,17.6,3,NA,,5,,,NA,927.4,0,3016593
UNCAS,53.5,-113.033,AB,,,NA,,,,,36.3,0,NA,41.9,0,NA,22,9,,,NA,,,3016650
TWO HILLS AGDM,53.625,-111.678,AB,-11.9,5,NA,4.1,5,-24.1,5,,,NA,13.7,10,NA,,4,,,NA,686.6,0,3016655
VERMILION AGDM,53.344,-110.882,AB,-13.5,0,NA,4.2,0,-31.8,0,,,NA,18,3,NA,,4,,,NA,883.1,0,3016802
VIKING AGCM,53.182,-111.732,AB,-12.3,1,NA,4.9,1,-26.8,1,,,NA,16.4,2,NA,,5,,,NA,818.2,0,3016841
VIKING NORTH 3,53.283,-111.767,AB,-13.4,2,NA,6.5,1,-28.5,1,27,1,NA,27,1,NA,40,8,,,NA,816.4,0,3016845
VILNA AGCM,54.13,-111.921,AB,-13.3,0,NA,7.3,0,-31.7,0,,,NA,14.3,0,NA,,3,,,NA,875.1,0,3016852
VIOLET GROVE CS,53.144,-115.126,AB,-6.9,0,NA,12.6,0,-23.7,0,,,NA,,,NA,32,,,,NA,697.8,0,3016860
VEGREVILLE,53.505,-112.098,AB,-12.7,0,-1.9,5.4,0,-30.4,0,,,NA,68.4,3,NA,,15,,,NA,860.4,0,3016GF0
WETASKIWIN AGCM,52.98,-113.444,AB,-10.3,0,NA,8.3,0,-29.6,0,,,NA,11.2,8,NA,,3,,,NA,792.2,0,3017282
EDMONTON STONY PLAIN CS,53.547,-114.108,AB,-8.6,0,NA,9.9,0,-21.7,0,,,NA,25.5,0,NA,16,4,,,NA,744.6,0,301A001
ESTHER 1,51.67,-110.206,AB,-12,0,NA,6.1,0,-28.1,0,,,NA,13.5,0,NA,,4,,,NA,840.3,0,301B460
UNIVERSITY OF ALBERTA METABOLIC CENTRE,53.517,-113.533,AB,-8.5,11,0,10,7,-21,7,39.6,0,400,39.6,0,400,0,9,,,NA,450.2,0,301FFNJ
WAINWRIGHT CFB AIRFIELD 21,52.829,-111.096,AB,-13.2,0,NA,4.6,0,-28,0,,,NA,14.4,9,NA,2,5,,,NA,874.4,0,301S001
ACADIA VALLEY,51.066,-110.317,AB,-11.2,0,NA,7.7,0,-29.6,0,,,NA,12.4,0,NA,,4,,,NA,816.7,0,3020035
ATLEE AGCM,50.81,-111.006,AB,-9.4,0,NA,7.2,0,-28,0,,,NA,6.1,5,NA,,3,,,NA,767,0,3020405
BEISEKER AGCM,51.379,-113.357,AB,-8.2,0,NA,10.3,0,-28,0,,,NA,4.4,0,NA,,1,,,NA,733.2,0,3020610
BIG VALLEY AGCM,51.998,-112.803,AB,-9.4,0,NA,7.6,0,-25.7,0,,,NA,32.3,5,NA,,13,,,NA,766.7,0,3020679
CRAIGMYLE AGCM,51.775,-112.252,AB,-10.3,0,NA,7.3,0,-26.1,0,,,NA,5,5,NA,,3,,,NA,792.4,0,3021912
CRAIGMYLE,51.767,-112.283,AB,-10.3,0,-1.5,8.5,0,-26,0,25.9,0,208,25.9,0,206,0,8,,,NA,792.1,0,3021940
DRUMHELLER EAST,51.445,-112.677,AB,-8.9,0,NA,10.6,0,-28.7,0,,,NA,,,NA,,,,,NA,754.5,0,30221LG
HESPERO AGCM,52.31,-114.486,AB,-9,0,NA,12.6,0,-29.2,0,,,NA,15.3,1,NA,,8,,,NA,755,0,3023200
HUSSAR AGDM,51.183,-112.5,AB,-8.2,0,NA,12.6,0,-20.9,0,,,NA,4.3,5,NA,,2,,,NA,734,0,3023402
LACOMBE CDA 2,52.449,-113.756,AB,-9,0,NA,11.6,0,-27.5,0,,,NA,18.5,0,NA,,5,,,NA,756.9,0,3023722
LEEDALE AGDM,52.553,-114.473,AB,-9.6,0,NA,8.5,0,-30,0,,,NA,12.4,3,NA,2,5,,,NA,772.9,0,3023740
LINDEN AGCM,51.619,-113.656,AB,-8.7,0,NA,10.3,0,-31.7,0,,,NA,18.4,2,NA,,7,,,NA,748.5,0,3023850
MORRIN AGDM,51.66,-112.675,AB,-9.7,0,NA,6.8,0,-25.5,0,,,NA,10,0,NA,,4,,,NA,775.5,0,3024668
OLDS AGDM,51.759,-114.085,AB,-7.5,0,NA,10.5,0,-22.1,0,,,NA,5.9,11,NA,,3,,,NA,715,0,3024925
OYEN AGDM,51.383,-110.35,AB,-11.6,0,NA,5.5,0,-25.8,0,,,NA,7.7,6,NA,,2,,,NA,830,0,3024965
POLLOCKVILLE AGDM,51.125,-111.705,AB,-10.7,0,NA,7.2,0,-31.9,0,,,NA,5.1,0,NA,,2,,,NA,804.3,0,3025243
PRENTISS,52.433,-113.6,AB,-8.7,1,NA,9.1,1,-22.4,1,,,NA,4.3,16,NA,,1,,,NA,721.1,0,3025297
RED DEER REGIONAL A,52.182,-113.894,AB,-9.2,0,NA,8.5,0,-30.4,0,17.2,0,NA,20,0,NA,6,6,,,NA,762,0,3025481
SCHULER AGDM,50.307,-110.091,AB,-8.1,0,NA,10.2,0,-27.1,0,,,NA,13,7,NA,,4,,,NA,731.1,0,3025768
SIBBALD WESTGARD,51.425,-110.146,AB,-12.3,4,NA,4.5,4,-31,4,14,4,NA,14,4,NA,5,3,,,NA,726.6,0,3025928
THREE HILLS,51.768,-113.206,AB,-9.3,0,NA,8.6,0,-31,0,,,NA,9.3,5,NA,,4,,,NA,764.6,0,3026479
SUNDRE A,51.778,-114.683,AB,-7.1,0,NA,13.7,0,-28,0,,,NA,10.2,0,NA,10,2,,,NA,701.4,0,3026KNQ
WIMBORNE AGCM,51.936,-113.591,AB,-8.3,0,NA,9.1,0,-27.5,0,,,NA,3.6,18,NA,,1,,,NA,736.7,0,3027582
AZURE,50.512,-114.013,AB,-4,0,NA,16.2,0,-20.5,0,,,NA,7.3,2,NA,,3,,,NA,615.3,0,3030450
BARNWELL AGDM,49.8,-112.3,AB,-3.7,0,NA,16.8,0,-22.1,0,,,NA,4.9,8,NA,,2,,,NA,606.7,0,3030525
BARONS AGCM,50.026,-113.224,AB,-4.2,0,NA,16.3,0,-23.7,0,,,NA,4.3,2,NA,,2,,,NA,620.2,0,3030529
BASSANO AGCM,50.893,-112.465,AB,-8.4,0,NA,9.9,0,-29.7,0,,,NA,3.6,1,NA,,1,,,NA,740.5,0,3030540
BLACK DIAMOND,50.707,-114.152,AB,-4.9,0,NA,16.3,0,-24.1,0,,,NA,2.8,13,NA,,1,,,NA,639.8,0,3030680
BLOOD TRIBE AGDM,49.567,-113.05,AB,-2.9,1,NA,14.9,0,-22.4,1,,,NA,2.9,10,NA,,1,,,NA,563.8,0,3030720
BOW ISLAND,49.734,-111.45,AB,-4.8,0,NA,14.8,0,-23.7,0,,,NA,9.7,1,NA,,4,,,NA,637.1,0,3030768
BOW ISLAND IRRIGATION AGDM,49.867,-111.383,AB,-4.9,0,NA,14.8,0,-22.2,0,,,NA,11.6,3,NA,,5,,,NA,640.4,0,3030772
BROCKET AGDM,49.617,-113.817,AB,-2.2,0,NA,14.5,0,-21,0,,,NA,7.8,4,NA,,3,,,NA,566.8,0,3030830
BROOKS,50.555,-111.849,AB,-8.1,0,NA,9.6,0,-29.6,0,,,NA,5.7,0,NA,1,2,,,NA,731.7,0,3030QLP
CALGARY INTL A,51.123,-114.013,AB,-4.6,0,NA,14.9,0,-19.8,0,13.7,0,NA,8,0,NA,1,2,,,NA,633.6,0,3031092
CALGARY INT'L CS,51.109,-114.014,AB,-4.9,0,NA,14.5,0,-20.7,0,,,NA,4.6,0,NA,1,1,,,NA,640,0,3031094
CARDSTON,49.201,-113.286,AB,-1.5,0,NA,15.8,0,-21,0,,,NA,20.8,5,NA,,7,,,NA,545.8,0,3031322
CARWAY,49.001,-113.376,AB,-2.3,0,NA,16,0,-18.7,0,,,NA,19.1,2,NA,16,3,,,NA,568.6,0,3031402
CHAMPION AGDM,50.282,-113.35,AB,-4.7,0,NA,17.9,0,-23.4,0,,,NA,3.9,4,NA,,1,,,NA,635.6,0,3031480
CLARESHOLM,50.004,-113.639,AB,-3.4,0,NA,17,0,-24.7,0,,,NA,7.8,1,NA,2,3,,,NA,599.4,0,3031640
COP UPPER,51.076,-114.222,AB,-4.7,0,NA,13.7,0,-18.9,0,,,NA,5.6,0,NA,,2,,,NA,636.9,0,3031875
ENCHANT AGDM,50.183,-112.433,AB,-5,0,NA,15.4,0,-21.8,0,,,NA,4.8,2,NA,,2,,,NA,642.9,0,3032422
ETZIKOM AGCM,49.553,-111.054,AB,-5.8,0,NA,17.1,0,-26.4,0,,,NA,8.3,2,NA,,3,,,NA,665.8,0,3032450
FINCASTLE AGDM,49.8,-112.033,AB,-3.7,0,NA,16.3,0,-18.9,0,,,NA,8.4,4,NA,,2,,,NA,606.5,0,3032550
FOREMOST AGDM,49.483,-111.486,AB,-4.8,0,NA,15.4,0,-25.1,0,,,NA,4.5,8,NA,,2,,,NA,637.2,0,3032642
FORT MACLEOD AGCM,49.786,-113.379,AB,-2.6,1,NA,16.2,1,-22.3,0,,,NA,2.6,9,NA,,1,,,NA,555.6,0,3032683
GLEICHEN AGCM,50.934,-112.941,AB,-7.2,0,NA,11,0,-22.7,0,,,NA,3.1,0,NA,,0,,,NA,705,0,3032801
GRASSY LAKE,49.874,-111.733,AB,-4.8,0,NA,17.2,0,-26,0,,,NA,8.7,5,NA,,3,,,NA,638.6,0,3032927
IRON SPRINGS AGDM,49.9,-112.733,AB,-3.4,0,NA,16.1,0,-19.8,0,,,NA,4.5,3,NA,,2,,,NA,600,0,3033498
IRVINE AGCM,49.989,-110.261,AB,-6.2,0,NA,12.4,0,-26.2,0,,,NA,12,8,NA,,3,,,NA,677.6,0,3033550
LETHBRIDGE,49.63,-112.799,AB,-3.2,4,NA,16.1,3,-24.7,4,,,NA,0,7,NA,,0,,,NA,509.8,0,3033875
LETHBRIDGE CDA,49.695,-112.768,AB,-2.5,0,NA,17.1,0,-23.3,0,,,NA,2.8,0,NA,,0,,,NA,574.7,0,3033890
LETHBRIDGE CDA 2,49.7,-112.783,AB,,,NA,,,,,1,2,NA,0.8,2,NA,0,0,,,NA,,,3033892
LETHBRIDGE DEMO FARM AGDM,49.683,-112.75,AB,-2.8,0,NA,16.3,0,-23.2,0,,,NA,2.8,3,NA,,0,,,NA,583.2,0,3033897
MEDICINE HAT,50.019,-110.721,AB,-5.9,0,NA,13.7,0,-25.5,0,,,NA,4.2,0,NA,,2,,,NA,669.2,0,3034479
MEDICINE HAT RCS,50.025,-110.717,AB,-6,0,NA,14.9,0,-27.2,0,,,NA,9.3,0,NA,2,3,,,NA,671.6,0,3034485
